Trace started at 2026-09-03:18:53:59.824
18:53:59.836 Write COM16: FE-FE-88-00-25-01-FD (....%..)
18:53:59.841 Read COM16: FE-FE-88-00-25-01-FD (....%..)
18:53:59.857 Read COM16: FE-FE-00-88-25-00-00-96-04-07-00-FD (....%.......)
18:53:59.857 Write COM16: FE-FE-88-00-26-01-FD (....&..)
18:53:59.873 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
18:53:59.970 Write COM16: FE-FE-88-00-0F-FD (......)
18:53:59.986 Read COM16: FE-FE-88-00-0F-FD-FE-FE-00-88-0F-00-FD (.............)
18:53:59.986 Write COM16: FE-FE-88-00-21-01-FD (....!..)
18:54:00.001 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
18:54:00.001 Write COM16: FE-FE-88-00-21-00-FD (....!..)
18:54:00.017 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00 (....!......!....)
18:54:00.018 Read COM16: FD (.)
18:54:00.104 Write COM16: FE-FE-88-00-25-00-FD (....%..)
18:54:00.113 Read COM16: FE-FE-88-00-25-00-FD-FE-FE-00 (....%.....)
18:54:00.129 Read COM16: 88-25-00-10-00-27-14-00-FD (.%...'...)
18:54:00.129 Write COM16: FE-FE-88-00-26-00-FD (....&..)
18:54:00.145 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26 (....&......&)
18:54:00.145 Read COM16: 00-01-00-01-FD (.....)
18:54:00.237 Write COM16: FE-FE-88-00-25-01-FD (....%..)
18:54:00.241 Read COM16: FE-FE-88-00-25 (....%)
18:54:00.257 Read COM16: 01-FD-FE-FE-00-88-25-00-00-96-04-07-00-FD (......%.......)
18:54:00.257 Write COM16: FE-FE-88-00-26-01-FD (....&..)
18:54:00.273 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
18:54:00.371 Write COM16: FE-FE-88-00-0F-FD (......)
18:54:00.385 Read COM16: FE-FE-88-00-0F-FD-FE-FE-00-88-0F-00-FD (.............)
18:54:00.385 Write COM16: FE-FE-88-00-21-01-FD (....!..)
18:54:00.401 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
18:54:00.401 Write COM16: FE-FE-88-00-21-00-FD (....!..)
18:54:00.417 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
18:54:00.504 Write COM16: FE-FE-88-00-25-00-FD (....%..)
18:54:00.513 Read COM16: FE-FE-88-00-25-00-FD-FE (....%...)
18:54:00.529 Read COM16: FE-00-88-25-00-10-00-27-14-00-FD (...%...'...)
18:54:00.529 Write COM16: FE-FE-88-00-26-00-FD (....&..)
18:54:00.545 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01 (....&......&....)
18:54:00.545 Read COM16: FD (.)
18:54:00.638 Write COM16: FE-FE-88-00-25-01-FD (....%..)
18:54:00.641 Read COM16: FE-FE-88 (...)
18:54:00.657 Read COM16: 00-25-01-FD-FE-FE-00-88-25-00-00-96-04-07-00-FD (.%......%.......)
18:54:00.657 Write COM16: FE-FE-88-00-26-01-FD (....&..)
18:54:00.673 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
18:54:00.772 Write COM16: FE-FE-88-00-0F-FD (......)
18:54:00.785 Read COM16: FE-FE-88-00-0F-FD-FE-FE-00-88-0F-00-FD (.............)
18:54:00.785 Write COM16: FE-FE-88-00-21-01-FD (....!..)
18:54:00.801 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
18:54:00.801 Write COM16: FE-FE-88-00-21-00-FD (....!..)
18:54:00.817 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
18:54:00.905 Write COM16: FE-FE-88-00-25-00-FD (....%..)
18:54:00.913 Read COM16: FE-FE-88-00-25-00-FD (....%..)
18:54:00.929 Read COM16: FE-FE-00-88-25-00-10-00-27-14-00-FD (....%...'...)
18:54:00.929 Write COM16: FE-FE-88-00-26-00-FD (....&..)
18:54:00.944 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
18:54:01.039 Write COM16: FE-FE-88-00-25-01-FD (....%..)
18:54:01.041 Read COM16: FE (.)
18:54:01.056 Read COM16: FE-88-00-25-01-FD-FE-FE-00-88-25 (...%......%)
18:54:01.057 Read COM16: 00-00-96-04-07-00-FD (.......)
18:54:01.057 Write COM16: FE-FE-88-00-26-01-FD (....&..)
18:54:01.073 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
18:54:01.173 Write COM16: FE-FE-88-00-0F-FD (......)
18:54:01.185 Read COM16: FE-FE-88-00-0F-FD-FE-FE-00-88-0F-00-FD (.............)
18:54:01.185 Write COM16: FE-FE-88-00-21-01-FD (....!..)
18:54:01.201 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
18:54:01.201 Write COM16: FE-FE-88-00-21-00-FD (....!..)
18:54:01.217 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
18:54:01.306 Write COM16: FE-FE-88-00-25-00-FD (....%..)
18:54:01.312 Read COM16: FE-FE-88-00-25-00-FD (....%..)
18:54:01.328 Read COM16: FE-FE-00-88-25-00-10-00-27-14-00-FD (....%...'...)
18:54:01.328 Write COM16: FE-FE-88-00-26-00-FD (....&..)
18:54:01.344 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
18:54:01.439 Write COM16: FE-FE-88-00-25-01-FD (....%..)
18:54:01.457 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25-00-00-96-04-07 (....%......%.....)
18:54:01.457 Read COM16: 00-FD (..)
